aowu    ┗<(=｀O′=)>┛
mobai    ｍ<(＿　＿)>ｍ
baobao    <(=′▽')爻 (`▽｀=)>
baobao    <(=*′д｀)爻(′д｀*=)>
qiangbi    ▄︻┻┳═一…… ☆<(=￣□￣=!)>
baoxiao    o<(*≧▽≦)>ツ
sheji    <(!=￣□￣)ｏ―∈‥oo━━━━━━━☆
e    <(ˉ▽ˉ；=)>
kunao    o<<(≧口≦)>>o
nanshou    o<(=′益`=)>o
bingo    <(=o゜▽゜)o☆[BINGO!]
bishi    <(=￢_￢=)>
biti    <(=￣ ‘i ￣=)>
biti    <(=￣ii￣=)><(=￣＂￣=)>
feipang    <(=￣)ε(￣=)>
budong    <(=＠_＠;=)?>
buguanwoshi    ㄟ<(=▔.▔=)>ㄏ
qie    (￣_,￣ =)>
buyao    °.°·(((p<(≧□≦)>;q)))·°.°。
yaotou    <(=￣ε￣ = ￣3￣=)>
caishen    <(=o′┏▽┓｀o=)>
canle    <(=X﹏X=)>
chayanlei    <(ノへ￣、=)>
ceng    <(≧︶)￣▽￣=)>ゞ
xiao    <(≧▽≦)>
chiyao    <(。=>︿<)_θ 吃药
chong    ε=ε=~\<(= ￣皿￣)/~
zixin    ヾ(′▽｀=)>ゝ
molei    <(=ノへ￣ =)>
chouyan    <(=￣c￣)y▂ξ。。。 抽烟
fanqiang    ε=ε┣G┻F┳ε=ヽ<(=￣▽￣)ノ┻W┫
chuonian    <(=～￣▽￣)→)￣▽￣=)>o
chuo    →)╥﹏╥=)>
mofa    <( =￣▽￣)o ─═≡※:☆▆▅▄▃▂＿
o    <(=°ο°=)>
koushui    <(=￣﹃￣=)>
danding    <(=￣.￣=)>
hengheng    <(=ˉ^ˉ=)>
pia    Pia!<(=ｏ ‵-′)ノ☆
pia    ☆乀(‵-′ ｏ=)> Pia!
pia    Pia! ☆乀<(=‵-′=)>ノ☆ Pia!
deyi    ～(￣▽￣～=)><(=～￣▽￣)～
deyi    <(=￣ˇ￣)/
gongji    <(= ￣O￣=)ノノ……∞∞OOO)))
diantou    <(=￣ー￣<(＿＿<(=￣ー￣<(＿＿
diedao    <(o＿＿)o彡☆
chandou    o<(=⊙﹏⊙=)>︴o
duibuqi    <(＿　＿)>
fangyu    ||┣(—_＼=)>
duzui    o(￣ε￣=)>
duzui    <(=○｀3′○)
dai    <(=⊙_⊙=)>
mianbi    <(=￣_￣)σ…<( ＿ ＿)ノ｜
fanzhuo    <(=╯′皿｀)╯ ┫:·'∵:.┻┻:·'.:┣∵·:. ┳┳☆
fanzhuo    ┻━┻︵╰<(=‵Д′=)>╯︵┻━┻
fanzhuo    <(=╯‵Д′)╯""┻━┻☆))>○<)
fanzhuo    <(=┘￣Д￣)┘╧═╧
fei    ︿<(=￣︶￣=)>︿
feiwen    <(=￣3￣)╭❤
fengmofa    <(=／-_-)／ξ ξ ξ ξ ξ ξ (+_+ ／)>／
fengmofa    ε～(～(～(卍)＼(￣▽￣＼)>
yingfenshen    ((<(≧<(≧▽<(≧▽≦<(≧▽≦)>≧▽≦)>▽≦)>≦)>))
ganbei    <(=￣▽￣=)>～■☆□～<(=￣▽￣=)>
ganbei    []~<(=￣▽￣~=)>
tantian    <(=*`▽')u┳━┳ｄ('▽`*=)>
